"Date","Price","Open","High","Low","Vol.","Change %"
"02/05/2009","915.75","905.70","925.00","902.60","","1.03%"
"02/04/2009","906.40","901.30","909.70","895.50","","0.42%"
"02/03/2009","902.60","904.30","913.10","888.00","","0.04%"
"02/02/2009","902.25","927.95","929.20","901.70","","-2.75%"
"01/30/2009","927.75","907.90","931.40","901.80","","2.16%"
"01/29/2009","908.15","886.40","909.50","868.85","","2.42%"
"01/28/2009","886.65","898.65","904.40","880.60","","-1.26%"
"01/27/2009","898.00","903.60","907.90","892.50","","-0.67%"
"01/26/2009","904.10","898.90","916.30","889.55","","0.52%"
"01/23/2009","899.40","856.60","903.50","852.80","","4.88%"
"01/22/2009","857.55","855.00","863.20","843.95","","0.23%"
"01/21/2009","855.55","855.85","864.75","843.50","","-0.15%"
"01/20/2009","856.80","835.60","866.80","823.90","","2.38%"
"01/19/2009","836.90","844.00","847.05","832.70","","-0.76%"
"01/16/2009","843.35","819.00","843.60","816.85","","3.31%"
"01/15/2009","816.35","811.45","821.60","802.65","","0.62%"
"01/14/2009","811.35","821.95","829.65","807.40","","-1.31%"
"01/13/2009","822.10","820.40","830.80","814.10","","0.10%"
"01/12/2009","821.25","854.25","857.10","815.65","","-3.77%"
